score,components,component_count,condition,horizon,ic_days,rank_ic_mean,rank_ic_std,rank_ic_ir_annualized,positive_ratio,oos_rank_ic_mean,nw_t_value,nw_p_value,fdr_q,promising,exploratory_score
single:continuous_move,continuous_move,1,pre_accelerating,10,1165,0.06361422848227463,0.23592120264206842,4.280431598121957,0.5965665236051502,0.042786265013117004,7.968089687422072,1.6114590127293054e-15,1.9617761894095892e-14,True,2.171286974627081
single:continuous_move,continuous_move,1,wide_box,10,1126,0.06449774231482114,0.24850019480978147,4.120197646221577,0.6030195381882771,0.04552589581524729,7.985812375287403,1.3959987897870693e-15,1.7160570489089827e-14,True,2.164281305176481
pair:approach_velocity+continuous_move,approach_velocity+continuous_move,2,compact_box,20,1137,0.06270622065411012,0.24803633558970484,4.013244231650474,0.6068601583113457,0.043688630129944034,6.530621155637216,6.549748003090069e-11,4.2649521880586494e-10,True,2.1144180555455097
pair:approach_velocity+continuous_move,approach_velocity+continuous_move,2,all,20,1260,0.05919824301788264,0.20387825305455834,4.609334052966512,0.6412698412698413,0.03982705679483192,7.878870534969255,3.3035356089745763e-15,3.836363933002734e-14,True,2.101329172278681
pair:approach_velocity+continuous_move,approach_velocity+continuous_move,2,volatility_contracting,20,1260,0.05919824301788264,0.20387825305455834,4.609334052966512,0.6412698412698413,0.03982705679483192,7.878870534969255,3.3035356089745763e-15,3.836363933002734e-14,True,2.101329172278681
single:continuous_move,continuous_move,1,pre_accelerating,20,1158,0.06108640973098018,0.23152851918711298,4.1883250288493725,0.6070811744386874,0.0392909640012581,6.308815811427886,2.811784975864364e-10,1.7094567283903972e-09,True,2.0787338135328772
pair:approach_velocity+continuous_move,approach_velocity+continuous_move,2,all,10,1271,0.057757954373826616,0.2048081978224717,4.476769537557851,0.6223446105428796,0.03274754703734659,8.616260358825695,6.917635910853555e-18,1.1981060134261827e-16,True,2.0591338528550605
pair:approach_velocity+continuous_move,approach_velocity+continuous_move,2,volatility_contracting,10,1271,0.057757954373826616,0.2048081978224717,4.476769537557851,0.6223446105428796,0.03274754703734659,8.616260358825695,6.917635910853555e-18,1.1981060134261827e-16,True,2.0591338528550605
pair:approach_velocity+continuous_move,approach_velocity+continuous_move,2,pre_accelerating,10,1165,0.060054970217326475,0.2375639100794921,4.012996320912622,0.6163090128755365,0.04210074820476421,7.899803959496112,2.793424276988159e-15,3.2894528869206355e-14,True,2.049802028658286
pair:approach_velocity+continuous_move,approach_velocity+continuous_move,2,compact_box,10,1144,0.059192722008941275,0.2528063514159316,3.716897640826492,0.590034965034965,0.04206154230870345,6.944029163277021,3.8107178105480756e-12,2.9144184772628685e-11,True,2.0020795237999423
pair:approach_velocity+continuous_move,approach_velocity+continuous_move,2,strong_breakout,10,1144,0.05911044936078133,0.24977252092353208,3.7568155611909835,0.6048951048951049,0.056899034174261245,8.114820047718421,4.865052063263814e-16,6.352295958251197e-15,True,1.9992968103402549
single:continuous_move,continuous_move,1,all,10,1271,0.05590979200734032,0.206890350432353,4.289907340646198,0.6231313926042487,0.030923199341102495,7.900408058400692,2.7799183158386896e-15,3.281215061317798e-14,True,1.9932448556483107
single:continuous_move,continuous_move,1,volatility_contracting,10,1271,0.05590979200734032,0.206890350432353,4.289907340646198,0.6231313926042487,0.030923199341102495,7.900408058400692,2.7799183158386896e-15,3.281215061317798e-14,True,1.9932448556483107
pair:approach_velocity+continuous_move,approach_velocity+continuous_move,2,volume_confirmed,20,1249,0.05631569237816126,0.20447043852909746,4.372191442876777,0.6253002401921537,0.037010353531913204,7.931333307260492,2.1680546642514907e-15,2.6078748228705284e-14,True,1.9902638148827358
pair:range_compactness+continuous_move,range_compactness+continuous_move,2,wide_box,10,1126,0.05929612308648538,0.24621814088876398,3.8230195751821294,0.5905861456483126,0.04421623151575159,7.192053637654667,6.382394531096986e-13,5.3791418790516404e-12,True,1.9897361684245138
