concept_code,concept_name,cluster,match_type,etf_code,etf_name,benchmark,adv_cny,aum_cny,selected,selection_reason
BK1111.DC,AIGC概念,ai_software,approximate,159819.SZ,易方达中证人工智能主题ETF,中证人工智能主题指数收益率×100%,410436853.45,16728069549.261002,True,highest pre-cutoff ADV among size/liquidity eligible candidates
BK1128.DC,CPO概念,ai_hardware,proxy,515880.SH,国泰中证全指通信设备ETF,中证全指通信设备指数收益率×100%,216481375.94999996,2700750222.0039997,True,highest pre-cutoff ADV among size/liquidity eligible candidates
BK1184.DC,人形机器人,smart_manufacturing,approximate,562500.SH,华夏中证机器人ETF,中证机器人指数收益率×100%,603961956.5999999,14473967349.750002,True,highest pre-cutoff ADV among size/liquidity eligible candidates
BK0588.DC,光伏设备,new_energy,exact,515790.SH,华泰柏瑞中证光伏产业ETF,中证光伏产业指数收益率×100%,275178465.05,9997774956.0,True,highest pre-cutoff ADV among size/liquidity eligible candidates
BK1106.DC,创新药,healthcare,exact,159992.SZ,银华中证创新药产业ETF,中证创新药产业指数收益率×100%,451136147.95,9447911523.864,True,highest pre-cutoff ADV among size/liquidity eligible candidates
BK0896.DC,白酒,consumer,approximate,512690.SH,鹏华中证酒ETF,中证酒指数收益率×100%,686705358.5999999,12633603846.57,True,highest pre-cutoff ADV among size/liquidity eligible candidates
BK0578.DC,稀土永磁,materials,approximate,516150.SH,嘉实中证稀土产业ETF,中证稀土产业指数收益率×100%,113743744.3,2427175476.0,True,highest pre-cutoff ADV among size/liquidity eligible candidates
BK0509.DC,网络游戏,ai_software,approximate,159869.SZ,华夏中证动漫游戏ETF,中证动漫游戏指数收益率×100%,615620632.2000002,7459467368.941,True,highest pre-cutoff ADV among size/liquidity eligible candidates
BK0888.DC,农业种植,agriculture,approximate,159825.SZ,富国中证农业主题ETF,中证农业主题指数收益率×100%,52513411.699999996,1869991500.8189998,True,highest pre-cutoff ADV among size/liquidity eligible candidates
BK0547.DC,黄金概念,precious_metals,proxy,517520.SH,永赢中证沪深港黄金产业股票ETF,中证沪深港黄金产业股票指数收益率×100%,187423896.29999998,4774627536.000001,True,highest pre-cutoff ADV among size/liquidity eligible candidates
BK0711.DC,券商概念,financials,exact,512880.SH,国泰中证全指证券公司ETF,中证全指证券公司指数×100%,1672336366.2500002,29843051123.552002,True,highest pre-cutoff ADV among size/liquidity eligible candidates
