ts_code,csname,extname,cname,index_code,index_name,setup_date,list_date,list_status,exchange,mgr_name,custod_name,mgt_fee,etf_type,benchmark,delist_date,benchmark_normalized,recovered_index_code,recovered_index_name,recovered_cluster,exact_benchmark_matches,recovery_pass,recovery_reason
159503.SZ,鹏扬国证财富管理ETF,鹏扬国证财富管理ETF,鹏扬国证财富管理交易型开放式指数证券投资基金,,,20230629,20230720,D,SZ,鹏扬基金,华泰证券股份有限公司,,纯境内,国证财富管理指数收益率×100%,20240719,国证财富管理,CN5074.SZ,国证财富管理指数,other_theme,1,False,ambiguous_or_non_theme_or_unmatched
159522.SZ,景顺长城国证2000ETF,景顺长城国证2000ETF,景顺长城国证2000交易型开放式指数证券投资基金,,,20230913,20231016,D,SZ,景顺长城基金,广发证券股份有限公司,,纯境内,国证2000指数收益率×100%,20240828,国证2000,399303.SZ,国证2000指数,other_theme,1,False,ambiguous_or_non_theme_or_unmatched
159579.SZ,华安深证主板50ETF,华安深证主板50ETF,华安深证主板50交易型开放式指数证券投资基金,,,20240705,20240719,D,SZ,华安基金,华泰证券股份有限公司,,纯境内,深证主板50指数收益率×100%,20250320,深证主板50,399750.SZ,深证主板50指数,other_theme,1,False,ambiguous_or_non_theme_or_unmatched
159646.SZ,华泰柏瑞国证疫苗与生物科技ETF,华泰柏瑞国证疫苗与生物科技ETF,华泰柏瑞国证疫苗与生物科技交易型开放式指数证券投资基金,,,20220811,20220822,D,SZ,华泰柏瑞基金,中国建设银行股份有限公司,,纯境内,国证疫苗与生物科技指数收益率×100%,20240605,国证疫苗与生物科技,980015.SZ,国证疫苗与生物科技指数,healthcare,1,True,exact_normalized_benchmark
159683.SZ,嘉实中证内地运输主题ETF,嘉实中证内地运输主题ETF,嘉实中证内地运输主题交易型开放式指数证券投资基金,,,20221229,20230109,D,SZ,嘉实基金,中国银行股份有限公司,,纯境内,中证内地运输主题指数收益率×100%,20250115,中证内地运输主题,,,,2,False,ambiguous_or_non_theme_or_unmatched
159693.SZ,华泰柏瑞中证有色金属矿业主题ETF,华泰柏瑞中证有色金属矿业主题ETF,华泰柏瑞中证有色金属矿业主题交易型开放式指数证券投资基金,,,20231130,20231214,D,SZ,华泰柏瑞基金,中国建设银行股份有限公司,,纯境内,中证有色金属矿业主题指数收益率×100%,20240607,中证有色金属矿业主题,931892.CSI,中证有色金属矿业主题指数,materials,1,True,exact_normalized_benchmark
159702.SZ,汇添富中证人工智能主题ETF,汇添富中证人工智能主题ETF,汇添富中证人工智能主题交易型开放式指数证券投资基金,,,20210429,20210518,D,SZ,汇添富基金,招商银行股份有限公司,,纯境内,中证人工智能主题指数收益率×100%,20221129,中证人工智能主题,930713.CSI,中证人工智能主题指数,ai_robotics,1,True,exact_normalized_benchmark
159710.SZ,建信中证智能电动汽车ETF,建信中证智能电动汽车ETF,建信中证智能电动汽车交易型开放式指数证券投资基金,,,20210715,20210809,D,SZ,建信基金,中国国际金融股份有限公司,,纯境内,中证智能电动汽车指数×100%,20240125,中证智能电动汽车,H11052.CSI,中证智能电动汽车指数,ai_robotics,1,True,exact_normalized_benchmark
159733.SZ,景顺长城中证消费电子主题ETF,景顺长城中证消费电子主题ETF,景顺长城中证消费电子主题交易型开放式指数证券投资基金,,,20210915,20210929,D,SZ,景顺长城基金,招商银行股份有限公司,,纯境内,中证消费电子主题指数收益率×100%,20240306,中证消费电子主题,931494.CSI,中证消费电子主题指数,electronics_communication,1,True,exact_normalized_benchmark
159769.SZ,银华中证消费电子主题ETF,银华中证消费电子主题ETF,银华中证消费电子主题交易型开放式指数证券投资基金,,,20220218,20220303,D,SZ,银华基金,招商银行股份有限公司,,纯境内,中证消费电子主题指数收益率×100%,20240710,中证消费电子主题,931494.CSI,中证消费电子主题指数,electronics_communication,1,True,exact_normalized_benchmark
159789.SZ,建信中证饮料主题ETF,建信中证饮料主题ETF,建信中证饮料主题交易型开放式指数证券投资基金,,,20211125,20211220,D,SZ,建信基金,中国国际金融股份有限公司,,纯境内,中证饮料主题指数×100%,20231025,中证饮料主题,H30205.CSI,中证饮料主题指数,other_theme,1,False,ambiguous_or_non_theme_or_unmatched
