concept_code,concept_name,cluster,match_type,etf_code,etf_name,adv_cny,aum_cny,selected,selection_reason,weight_months,first_weight_date,last_weight_date,unique_members,weight_coverage_pass
000685.SH,上证科创芯片,semiconductors,exact_official_tracking_index,588200.SH,嘉实上证科创板芯片ETF,7045878109.7,53623765912.4,True,highest recent ADV among exact-index ETFs passing ADV/AUM/history gates,42,2023-01-31,2026-06-30,88,True
000811.CSI,中证细分有色,materials,exact_official_tracking_index,159652.SZ,汇添富中证细分有色金属产业主题ETF,227267316.25,2877126323.522,True,highest recent ADV among exact-index ETFs passing ADV/AUM/history gates,42,2023-01-31,2026-06-30,72,True
000813.CSI,中证细分化工,materials,exact_official_tracking_index,159870.SZ,鹏华中证细分化工产业主题ETF,704381579.7850001,13312431657.231,True,highest recent ADV among exact-index ETFs passing ADV/AUM/history gates,42,2023-01-31,2026-06-30,72,True
000815.CSI,中证细分食品,consumer,exact_official_tracking_index,515170.SH,华夏中证细分食品饮料产业主题ETF,97657542.35,4127877344.5000005,True,highest recent ADV among exact-index ETFs passing ADV/AUM/history gates,42,2023-01-31,2026-06-30,65,True
000819.SH,中证有色金属,materials,exact_official_tracking_index,512400.SH,南方中证申万有色金属ETF,1181791003.5,20108139803.999996,True,highest recent ADV among exact-index ETFs passing ADV/AUM/history gates,42,2023-01-31,2026-06-30,74,True
000913.SH,300医药,healthcare,exact_official_tracking_index,512010.SH,易方达沪深300医药卫生ETF,800403067.75,17193428943.6,True,highest recent ADV among exact-index ETFs passing ADV/AUM/history gates,42,2023-01-31,2026-06-30,34,True
000932.SH,中证800消费,consumer,exact_official_tracking_index,159928.SZ,汇添富中证主要消费ETF,343467874.09000003,15210086763.12,True,highest recent ADV among exact-index ETFs passing ADV/AUM/history gates,42,2023-01-31,2026-06-30,56,True
000949.CSI,中证农业,agriculture,exact_official_tracking_index,159825.SZ,富国中证农业主题ETF,90289297.35,1585386107.4929998,True,highest recent ADV among exact-index ETFs passing ADV/AUM/history gates,42,2023-01-31,2026-06-30,94,True
000991.SH,中证全指医药,healthcare,exact_official_tracking_index,159938.SZ,广发中证全指医药卫生ETF,76809451.325,4481352791.444,True,highest recent ADV among exact-index ETFs passing ADV/AUM/history gates,42,2023-01-31,2026-06-30,344,True
399266.SZ,深证创新能源,battery_storage,exact_official_tracking_index,159387.SZ,国泰创业板新能源ETF,330683998.65,1094756805.36,True,highest recent ADV among exact-index ETFs passing ADV/AUM/history gates,42,2023-01-31,2026-06-30,73,True
399395.SZ,国证有色,materials,exact_official_tracking_index,159880.SZ,鹏华国证有色金属行业ETF,58437059.235,1018863895.686,True,highest recent ADV among exact-index ETFs passing ADV/AUM/history gates,42,2023-01-31,2026-06-30,74,True
399437.SZ,国证证券龙头,financials,exact_official_tracking_index,159993.SZ,鹏华国证证券龙头ETF,238902719.08,4644540296.562,True,highest recent ADV among exact-index ETFs passing ADV/AUM/history gates,42,2023-01-31,2026-06-30,35,True
399438.SZ,国证绿色电力,power_grid,exact_official_tracking_index,159625.SZ,嘉实国证绿色电力ETF,66223768.595000006,2579653449.738,True,highest recent ADV among exact-index ETFs passing ADV/AUM/history gates,42,2023-01-31,2026-06-30,67,True
399439.SZ,国证油气,energy,exact_official_tracking_index,159697.SZ,鹏华国证石油天然气ETF,68498538.965,1278641077.1100001,True,highest recent ADV among exact-index ETFs passing ADV/AUM/history gates,42,2023-01-31,2026-06-30,101,True
399441.SZ,国证生物医药,healthcare,exact_official_tracking_index,159859.SZ,天弘国证生物医药ETF,262829340.61999997,4414665020.249999,True,highest recent ADV among exact-index ETFs passing ADV/AUM/history gates,42,2023-01-31,2026-06-30,38,True
399967.SZ,中证军工,defense,exact_official_tracking_index,512660.SH,国泰中证军工ETF,365405756.85,6150126960.0,True,highest recent ADV among exact-index ETFs passing ADV/AUM/history gates,42,2023-01-31,2026-06-30,116,True
399971.SZ,中证传媒,software_media,exact_official_tracking_index,512980.SH,广发中证传媒ETF,211897129.3,3479058880.8,True,highest recent ADV among exact-index ETFs passing ADV/AUM/history gates,42,2023-01-31,2026-06-30,64,True
399975.SZ,中证证券公司,financials,exact_official_tracking_index,512880.SH,国泰中证全指证券公司ETF,3572773860.3,61987401775.5,True,highest recent ADV among exact-index ETFs passing ADV/AUM/history gates,42,2023-01-31,2026-06-30,51,True
399986.SZ,中证银行,financials,exact_official_tracking_index,512800.SH,华宝中证银行ETF,1047489291.95,12619171241.1,True,highest recent ADV among exact-index ETFs passing ADV/AUM/history gates,42,2023-01-31,2026-06-30,42,True
399989.SZ,中证医疗,healthcare,exact_official_tracking_index,512170.SH,华宝中证医疗ETF,797034125.95,25541066919.0,True,highest recent ADV among exact-index ETFs passing ADV/AUM/history gates,42,2023-01-31,2026-06-30,74,True
399998.SZ,中证煤炭,energy,exact_official_tracking_index,515220.SH,国泰中证煤炭ETF,950236164.8,14145541312.199999,True,highest recent ADV among exact-index ETFs passing ADV/AUM/history gates,42,2023-01-31,2026-06-30,34,True
930598.CSI,中证稀土产业,materials,exact_official_tracking_index,516150.SH,嘉实中证稀土产业ETF,302770257.15,5863753007.0,True,highest recent ADV among exact-index ETFs passing ADV/AUM/history gates,42,2023-01-31,2026-06-30,46,True
930601.CSI,中证软件,software_media,exact_official_tracking_index,159852.SZ,嘉实中证软件服务ETF,406048536.015,7720816916.097001,True,highest recent ADV among exact-index ETFs passing ADV/AUM/history gates,42,2023-01-31,2026-06-30,45,True
930606.CSI,中证钢铁,materials,exact_official_tracking_index,515210.SH,国泰中证钢铁ETF,84242693.45,1042972053.6999999,True,highest recent ADV among exact-index ETFs passing ADV/AUM/history gates,42,2023-01-31,2026-06-30,55,True
930633.CSI,中证旅游,consumer,exact_official_tracking_index,159766.SZ,富国中证旅游主题ETF,163838899.58499998,3008025042.9090004,True,highest recent ADV among exact-index ETFs passing ADV/AUM/history gates,42,2023-01-31,2026-06-30,45,True
930651.CSI,中证CS计算机,other_theme,exact_official_tracking_index,159998.SZ,天弘中证计算机主题ETF,154812912.01,1607407223.8660002,True,highest recent ADV among exact-index ETFs passing ADV/AUM/history gates,42,2023-01-31,2026-06-30,73,True
930652.CSI,中证CS电子,electronics_communication,exact_official_tracking_index,159997.SZ,天弘中证电子ETF,145565828.62,1398589437.054,True,highest recent ADV among exact-index ETFs passing ADV/AUM/history gates,42,2023-01-31,2026-06-30,153,True
930708.CSI,中证有色,materials,exact_official_tracking_index,159876.SZ,华宝中证有色金属ETF,111859959.655,1277087134.246,True,highest recent ADV among exact-index ETFs passing ADV/AUM/history gates,42,2023-01-31,2026-06-30,78,True
930709.CSI,中证香港证券,financials,exact_official_tracking_index,513090.SH,易方达中证香港证券投资主题ETF,8083617957.1,18702497364.0,True,highest recent ADV among exact-index ETFs passing ADV/AUM/history gates,42,2023-01-31,2026-06-30,25,True
930851.CSI,中证云计算,software_media,exact_official_tracking_index,516510.SH,易方达中证云计算与大数据主题ETF,239840586.0,2529806030.0,True,highest recent ADV among exact-index ETFs passing ADV/AUM/history gates,42,2023-01-31,2026-06-30,73,True
930901.CSI,中证动漫游戏,software_media,exact_official_tracking_index,159869.SZ,华夏中证动漫游戏ETF,756655689.39,8626017136.747,True,highest recent ADV among exact-index ETFs passing ADV/AUM/history gates,42,2023-01-31,2026-06-30,34,True
930977.CSI,港股通信息CCNY,electronics_communication,exact_official_tracking_index,159131.SZ,华宝中证港股通信息技术综合ETF,2606291195.0299997,1646117110.82,True,highest recent ADV among exact-index ETFs passing ADV/AUM/history gates,42,2023-01-31,2026-06-30,75,True
930997.CSI,中证新能源车,battery_storage,exact_official_tracking_index,515700.SH,平安中证新能源汽车产业ETF,73647316.4,1467324624.2000003,True,highest recent ADV among exact-index ETFs passing ADV/AUM/history gates,42,2023-01-31,2026-06-30,94,True
931066.CSI,中证军工龙头,defense,exact_official_tracking_index,512710.SH,富国中证军工龙头ETF,400855242.35,7040275164.0,True,highest recent ADV among exact-index ETFs passing ADV/AUM/history gates,42,2023-01-31,2026-06-30,52,True
931071.CSI,中证人工智能,ai_robotics,exact_official_tracking_index,515980.SH,华富中证人工智能产业ETF,412933352.15,6562931386.000001,True,highest recent ADV among exact-index ETFs passing ADV/AUM/history gates,42,2023-01-31,2026-06-30,106,True
931079.CSI,中证5G通信,electronics_communication,exact_official_tracking_index,515050.SH,华夏中证5G通信主题ETF,2142873992.1,20980086491.6,True,highest recent ADV among exact-index ETFs passing ADV/AUM/history gates,42,2023-01-31,2026-06-30,69,True
931139.CSI,中证CS消费50,consumer,exact_official_tracking_index,515650.SH,富国中证消费50ETF,55851856.25,3223151360.0000005,True,highest recent ADV among exact-index ETFs passing ADV/AUM/history gates,42,2023-01-31,2026-06-30,89,True
931151.CSI,中证光伏产业,solar_wind,exact_official_tracking_index,515790.SH,华泰柏瑞中证光伏产业ETF,287877619.9,5377752718.000001,True,highest recent ADV among exact-index ETFs passing ADV/AUM/history gates,42,2023-01-31,2026-06-30,69,True
931152.CSI,中证CS创新药,healthcare,exact_official_tracking_index,159992.SZ,银华中证创新药产业ETF,1453379578.865,16855769165.931,True,highest recent ADV among exact-index ETFs passing ADV/AUM/history gates,42,2023-01-31,2026-06-30,74,True
931160.CSI,中证通信设备,electronics_communication,exact_official_tracking_index,515880.SH,国泰中证全指通信设备ETF,6382981599.35,49316775066.00001,True,highest recent ADV among exact-index ETFs passing ADV/AUM/history gates,42,2023-01-31,2026-06-30,73,True
931238.CSI,SSH黄金股票,materials,exact_official_tracking_index,517520.SH,永赢中证沪深港黄金产业股票ETF,478485401.45,9494560096.000002,True,highest recent ADV among exact-index ETFs passing ADV/AUM/history gates,42,2023-01-31,2026-06-30,60,True
931250.CSI,港股通创新药,healthcare,exact_official_tracking_index,513780.SH,景顺长城中证港股通创新药ETF,650770726.9,2585356592.0,True,highest recent ADV among exact-index ETFs passing ADV/AUM/history gates,43,2023-01-31,2026-06-30,77,True
