ts_code,csname,extname,cname,index_code,index_name,setup_date,list_date,list_status,exchange,mgr_name,custod_name,mgt_fee,etf_type,list_date_parsed,cluster
510630.SH,华夏上证主要消费ETF,华夏上证主要消费ETF,上证主要消费交易型开放式指数发起式证券投资基金,000036.SH,上证消费,20130328,20130508,L,SH,华夏基金,中国建设银行股份有限公司,0.5,纯境内,2013-05-08,consumer
510660.SH,华夏上证医药卫生ETF,华夏上证医药卫生ETF,上证医药卫生交易型开放式指数发起式证券投资基金,000037.SH,上证医药,20130328,20130508,L,SH,华夏基金,中国建设银行股份有限公司,0.5,纯境内,2013-05-08,healthcare
510150.SH,招商上证消费80ETF,招商上证消费80ETF,招商上证消费80交易型开放式指数证券投资基金,000069.SH,上证消费80,20101208,20110225,L,SH,招商基金,中国工商银行股份有限公司,0.5,纯境内,2011-02-25,consumer
588700.SH,嘉实上证科创板生物医药ETF,嘉实上证科创板生物医药ETF,嘉实上证科创板生物医药交易型开放式指数证券投资基金,000683.SH,上证科创生物,20231227,20240105,L,SH,嘉实基金,国泰海通证券股份有限公司,0.5,纯境内,2024-01-05,healthcare
588860.SH,工银瑞信上证科创板生物医药ETF,工银瑞信上证科创板生物医药ETF,工银瑞信上证科创板生物医药交易型开放式指数证券投资基金,000683.SH,上证科创生物,20240808,20240823,L,SH,工银瑞信基金,华泰证券股份有限公司,0.45,纯境内,2024-08-23,healthcare
588250.SH,鹏华上证科创板生物医药ETF,鹏华上证科创板生物医药ETF,鹏华上证科创板生物医药交易型开放式指数证券投资基金,000683.SH,上证科创生物,20250312,20250321,L,SH,鹏华基金,中信证券股份有限公司,0.5,纯境内,2025-03-21,healthcare
588130.SH,华夏上证科创板生物医药ETF,华夏上证科创板生物医药ETF,华夏上证科创板生物医药交易型开放式指数证券投资基金,000683.SH,上证科创生物,20250514,20250528,L,SH,华夏基金,中泰证券股份有限公司,0.5,纯境内,2025-05-28,healthcare
588200.SH,嘉实上证科创板芯片ETF,嘉实上证科创板芯片ETF,嘉实上证科创板芯片交易型开放式指数证券投资基金,000685.SH,上证科创芯片,20220930,20221026,L,SH,嘉实基金,中信证券股份有限公司,0.5,纯境内,2022-10-26,semiconductors
588290.SH,华安上证科创板芯片ETF,华安上证科创板芯片ETF,华安上证科创板芯片交易型开放式指数证券投资基金,000685.SH,上证科创芯片,20220930,20221026,L,SH,华安基金,华泰证券股份有限公司,0.15,纯境内,2022-10-26,semiconductors
588890.SH,南方上证科创板芯片ETF,南方上证科创板芯片ETF,南方上证科创板芯片交易型开放式指数证券投资基金,000685.SH,上证科创芯片,20240415,20240423,L,SH,南方基金,交通银行股份有限公司,0.5,纯境内,2024-04-23,semiconductors
588990.SH,博时上证科创板芯片ETF,博时上证科创板芯片ETF,博时上证科创板芯片交易型开放式指数证券投资基金,000685.SH,上证科创芯片,20240808,20240816,L,SH,博时基金,平安银行股份有限公司,0.5,纯境内,2024-08-16,semiconductors
588750.SH,汇添富上证科创板芯片ETF,汇添富上证科创板芯片ETF,汇添富上证科创板芯片交易型开放式指数证券投资基金,000685.SH,上证科创芯片,20241218,20241226,L,SH,汇添富基金,中国工商银行股份有限公司,0.5,纯境内,2024-12-26,semiconductors
588810.SH,富国上证科创板芯片ETF,富国上证科创板芯片ETF,富国上证科创板芯片交易型开放式指数证券投资基金,000685.SH,上证科创芯片,20241230,20250109,L,SH,富国基金,中泰证券股份有限公司,0.5,纯境内,2025-01-09,semiconductors
589100.SH,国泰上证科创板芯片ETF,国泰上证科创板芯片ETF,国泰上证科创板芯片交易型开放式指数证券投资基金,000685.SH,上证科创芯片,20250326,20250407,L,SH,国泰基金,国投证券股份有限公司,0.5,纯境内,2025-04-07,semiconductors
588920.SH,鹏华上证科创板芯片ETF,鹏华上证科创板芯片ETF,鹏华上证科创板芯片交易型开放式指数证券投资基金,000685.SH,上证科创芯片,20250716,20250728,L,SH,鹏华基金,国泰海通证券股份有限公司,0.5,纯境内,2025-07-28,semiconductors
589130.SH,易方达上证科创板芯片ETF,易方达上证科创板芯片ETF,易方达上证科创板芯片交易型开放式指数证券投资基金,000685.SH,上证科创芯片,20251229,20260108,L,SH,易方达基金,招商银行股份有限公司,0.5,纯境内,2026-01-08,semiconductors
589190.SH,华宝上证科创板芯片ETF,华宝上证科创板芯片ETF,华宝上证科创板芯片交易型开放式指数证券投资基金,000685.SH,上证科创芯片,20260119,20260127,L,SH,华宝基金,招商银行股份有限公司,0.3,纯境内,2026-01-27,semiconductors
589160.SH,广发上证科创板芯片ETF,广发上证科创板芯片ETF,广发上证科创板芯片交易型开放式指数证券投资基金,000685.SH,上证科创芯片,20260121,20260130,L,SH,广发基金,中国邮政储蓄银行股份有限公司,0.5,纯境内,2026-01-30,semiconductors
588830.SH,鹏华上证科创板新能源ETF,鹏华上证科创板新能源ETF,鹏华上证科创板新能源交易型开放式指数证券投资基金,000692.SH,上证科创板新能源,20240731,20240809,L,SH,鹏华基金,国泰海通证券股份有限公司,0.5,纯境内,2024-08-09,battery_storage
588960.SH,富国上证科创板新能源ETF,富国上证科创板新能源ETF,富国上证科创板新能源交易型开放式指数证券投资基金,000692.SH,上证科创板新能源,20250206,20250219,L,SH,富国基金,招商银行股份有限公司,0.5,纯境内,2025-02-19,battery_storage
589960.SH,易方达上证科创板新能源ETF,易方达上证科创板新能源ETF,易方达上证科创板新能源交易型开放式指数证券投资基金,000692.SH,上证科创板新能源,20250910,20250922,L,SH,易方达基金,中信证券股份有限公司,0.5,纯境内,2025-09-22,battery_storage
588850.SH,嘉实上证科创板工业机械ETF,嘉实上证科创板工业机械ETF,嘉实上证科创板工业机械交易型开放式指数证券投资基金,000693.SH,上证科创机械,20250416,20250424,L,SH,嘉实基金,广发证券股份有限公司,0.5,纯境内,2025-04-24,industrials
516600.SH,工银瑞信中证消费服务领先ETF,工银瑞信中证消费服务领先ETF,工银瑞信中证消费服务领先交易型开放式指数证券投资基金,000806.CSI,中证消费服务,20210209,20210226,L,SH,工银瑞信基金,中信建投证券股份有限公司,0.45,纯境内,2021-02-26,consumer
